iter	Passed	Remaining
403	9524	14050
404	9548	14028
405	9572	14005
406	9595	13981
407	9619	13957
408	9643	13934
409	9669	13915
410	9695	13895
411	9718	13869
412	9740	13843
413	9764	13821
414	9787	13797
415	9808	13769
416	9829	13742
417	9850	13715
418	9874	13692
419	9898	13668
420	9922	13646
421	9946	13624
422	9970	13600
423	9996	13579
424	10022	13559
425	10046	13536
426	10078	13524
427	10105	13505
428	10128	13481
429	10150	13455
430	10173	13430
431	10198	13409
432	10220	13383
433	10244	13359
434	10266	13335
435	10290	13311
436	10312	13285
437	10337	13264
438	10360	13239
439	10382	13214
440	10406	13191
441	10430	13167
442	10454	13144
443	10478	13121
444	10503	13099
445	10525	13073
446	10548	13050
447	10571	13026
448	10595	13002
449	10617	12977
450	10640	12952
451	10662	12926
452	10686	12904
453	10712	12882
454	10736	12860
455	10759	12836
456	10782	12811
457	10805	12787
458	10827	12761
459	10849	12736
460	10872	12712
461	10895	12688
462	10918	12663
463	10939	12637
464	10962	12612
465	10983	12586
466	11008	12563
467	11032	12541
468	11054	12515
469	11079	12493
470	11104	12471
471	11127	12447
472	11149	12422
473	11171	12397
474	11195	12373
475	11218	12349
476	11242	12326
477	11267	12304
478	11292	12283
479	11317	12260
480	11340	12236
481	11363	12212
482	11388	12190
483	11413	12168
484	11436	12143
485	11458	12118
486	11481	12094
487	11504	12070
488	11527	12046
489	11551	12022
490	11575	11999
491	11598	11976
492	11623	11953
493	11647	11930
494	11672	11907
495	11696	11885
496	11723	11865
497	11746	11840
498	11769	11816
499	11792	11792
500	11814	11767
501	11838	11744
502	11861	11719
503	11884	11695
504	11910	11674
505	11935	11652
506	11959	11629
507	11982	11605
508	12006	11581
509	12032	11560
510	12056	11537
511	12081	11515
512	12105	11491
513	12130	11469
514	12152	11444
515	12178	11423
516	12201	11399
517	12228	11378
518	12251	11354
519	12273	11329
520	12298	11306
521	12323	11284
522	12345	11259
523	12367	11234
524	12392	11212
525	12415	11187
526	12439	11164
527	12463	11141
528	12488	11119
529	12514	11097
530	12538	11074
531	12562	11051
532	12586	11027
533	12610	11004
534	12633	10980
535	12657	10957
536	12681	10934
537	12705	10910
538	12730	10887
539	12752	10863
540	12775	10839
541	12798	10815
542	12821	10791
543	12846	10768
544	12868	10743
545	12891	10719
546	12916	10696
547	12942	10674
548	12966	10651
549	12989	10628
550	13012	10603
551	13035	10579
552	13058	10555
553	13084	10533
554	13107	10509
555	13132	10486
556	13156	10463
557	13180	10440
558	13204	10416
559	13225	10391
560	13248	10367
561	13269	10342
562	13292	10317
563	13316	10294
564	13338	10269
565	13363	10246
566	13388	10224
567	13412	10201
568	13437	10178
569	13462	10156
570	13487	10133
571	13511	10109
572	13536	10087
573	13561	10064
574	13584	10040
575	13608	10017
576	13633	9994
577	13656	9970
578	13679	9946
579	13701	9921
580	13725	9898
581	13749	9874
582	13774	9852
583	13797	9828
584	13821	9805
585	13844	9780
586	13866	9756
587	13890	9732
588	13915	9710
589	13938	9685
590	13961	9661
591	13986	9639
592	14009	9615
593	14033	9591
594	14056	9567
595	14079	9543
596	14103	9520
597	14127	9497
598	14151	9473
599	14176	9451
600	14198	9426
601	14222	9403
602	14243	9377
603	14266	9353
604	14289	9329
605	14312	9305
606	14333	9280
607	14357	9256
608	14381	9233
609	14405	9209
610	14427	9185
611	14452	9162
612	14473	9137
613	14496	9113
614	14522	9091
615	14547	9068
616	14571	9045
617	14595	9021
618	14620	8999
619	14645	8976
620	14667	8951
621	14691	8928
622	14713	8903
623	14736	8879
624	14760	8856
625	14784	8832
626	14807	8809
627	14831	8785
628	14854	8761
629	14879	8738
630	14901	8714
631	14925	8690
632	14947	8666
633	14973	8643
634	14996	8619
635	15019	8596
636	15041	8571
637	15064	8547
638	15087	8523
639	15110	8499
640	15134	8476
641	15156	8451
642	15182	8429
643	15207	8406
644	15229	8382
645	15251	8357
646	15274	8333
647	15298	8310
648	15322	8286
649	15345	8262
650	15369	8239
651	15393	8215
652	15419	8193
653	15442	8170
654	15467	8147
655	15491	8123
656	15515	8100
657	15539	8076
658	15562	8052
659	15586	8029
660	15612	8007
661	15636	7983
662	15660	7959
663	15683	7936
664	15706	7912
665	15729	7888
666	15754	7865
667	15776	7841
668	15798	7816
669	15821	7792
670	15845	7769
671	15869	7745
672	15891	7721
